,addr:city,addr:housenumber,addr:postcode,addr:street,ais,amenity,in:pois,lat,lon,name
4469521098,Fortaleza,295,,Avenida Godofredo Maciel,9,fast_food,True,-3.7984081,-38.5702562,Real Sanduíche
4469521100,Fortaleza,2575,,Avenida Godofredo Maciel,9,pharmacy,True,-3.7979741,-38.5701911,Drogafélix Maraponga
4469521102,Fortaleza,2543,,Avenida Godofredo Maciel,9,restaurant,True,-3.7976374,-38.5699472,Japamania (Japa Mania Maraponga)
4469521103,Fortaleza,2541,,Avenida Godofredo Maciel,9,fast_food,True,-3.7974995,-38.5699187,Friends Lanchonete
4469521104,Fortaleza,2533,,Avenida Godofredo Maciel,9,fast_food,True,-3.7973331,-38.5698577,De Anjo Burger
4469521106,Fortaleza,2525,,Avenida Godofredo Maciel,9,restaurant,True,-3.797037,-38.5697724,Skina do Camarão
4469521108,Fortaleza,2438,,Avenida Godofredo Maciel,9,fast_food,True,-3.7967409,-38.5701505,Espetinho do Camilo
4469521109,Fortaleza,2438,,Avenida Godofredo Maciel,9,fast_food,True,-3.7971465,-38.5702399,Noble Pig Sanduicheria
4469521110,Fortaleza,2435,,Avenida Godofredo Maciel,9,pharmacy,True,-3.7967855,-38.5696667,Extrafarma Maraponga
4469521113,Fortaleza,2371,,Avenida Godofredo Maciel,9,pharmacy,True,-3.7961638,-38.5695422,Pague Menos (Maraponga)
4469521114,Fortaleza,2238,,Avenida Godofredo Maciel,9,bank,True,-3.7949984,-38.569889,Caixa Econômica Federal (Maraponga)
4469521115,Fortaleza,2201,,Avenida Godofredo Maciel,9,fast_food,True,-3.7953127,-38.5693369,Dona Pizza Delivery
4469521119,Fortaleza,911,,Rua Francisco Glicério,9,bar,True,-3.795827,-38.5705227,Spazio Buffet Expansão
4469548746,Fortaleza,550,,Rua Vidal de Negreiros,9,school,True,-3.8005607,-38.5661535,Colégio Marista Maraponga
4469548752,Fortaleza,315,,Rua Francisco Glicério,9,bar,True,-3.7976985,-38.5644499,Martan Buffet
